aaron	a: r O n
ritverk	r I: t v E r_0 k
ritvélina	r I: t v j E l I n a
ritvél	r I: t v j E l
ritvillan	r I: t v I t l a n
ritvilla	r I: t v I t l a
ritvillnanna	r I: t v I t l n a n a
ritvillna	r I: t v I t l n a
ritvillum	r I: t v I t l Y m
ritvilluna	r I: t v I t l Y n a
ritvillunnar	r I: t v I t l Y n a r
ritvillunni	r I: t v I t l Y n I
ritvillunum	r I: t v I t l O n Y m
ritvillu	r I: t v I t l Y
ritvillurnar	r I: t v I t l Y r t n a r
ritvillur	r I: t v I t l Y r
ritvinnsluna	r I: t v I n s t l Y n a
river	r I v E r
rivers	r I v E r_0 s
ríbóflavín	r i: p ou f l a v i n
ríðandi	r i: D a n t I
ríða	r i: D a
ríður	r i: D Y r
rífa	r i: v a
rífast	r i: v a s t
ríflega	r i v l E G a
ríkan	r i: k a n
ríkara	r i: k a r a
ríkarður	r i: k a r D Y r
ríka	r i: k a
ríkari	r i: k a r I
ríkar	r i: k a r
ríkasta	r i: k a s t a
ríkasti	r i: k a s t I
ríkharð	r i: k h a r D
ríkharðsdóttir	r i k h a r D s t ou h t I r
ríkharðsson	r i k h a r D s O n
ríkharður	r i k h a r D Y r
ríkidæmi	r i: c I t ai m I
ríkið	r i: c I D
ríkin	r i: c I n
ríkinu	r i: c I n Y
ríki	r i: c I
ríkir	r i: c I r
ríkisaðstoð	r i: c I s a D s t O D
ríkisafskipti	r i: c I s a f s c I f t I
ríkisábyrgð	r i: c I s au p I r D
ríkisbankanna	r i: c I s p au N_0 k a n a
ríkisborgararétt	r i: c I s p O r k a r a r j E h t
ríkisborgara	r i: c I s p O r k a r a
ríkisborgarar	r i: c I s p O r k a r a r
ríkisborgari	r i: c I s p O r k a r I
ríkisborgurum	r i: c I s p O r k Y r Y m
ríkisbubbar	r i: c I s p Y p a r
ríkiseigu	r i: c I s ei G Y
ríkisendurskoðanda	r i: c I s E n t Y r_0 s k O D a n t a
ríkisendurskoðandi	r i: c I s E n t Y r_0 s k O D a n t I
ríkisendurskoðunar	r i: c I s E n t Y r_0 s k O D Y n a r
ríkisendurskoðun	r i: c I s E n t Y r_0 s k O D Y n
ríkisfang	r i: c I s f au N k
ríkisfjármála	r i: c I s f j au r m au l a
ríkisfjármálin	r i: c I s f j au r m au l I n
ríkisfjármál	r i: c I s f j au r m au l
ríkisfjármálum	r i: c I s f j au r m au l Y m
ríkisfjármálunum	r i: c I s f j au r m au l O n Y m
ríkisframkvæmdir	r i: c I s f r a m k_h v ai m t I r
ríkisfyrirtæki	r i: c I s f I r I r_0 t_h ai c I
ríkisfyrirtækja	r i: c I s f I r I r_0 t_h ai c a
ríkisins	r i: c I s I n s
ríkiskaupa	r i: c I s k_h 9i p a
ríkiskaup	r i: c I s k_h 9i p
ríkislögreglustjóra	r i: c I s t l 9 G r E k l Y s t j ou r a
ríkislögreglustjóri	r i: c I s t l 9 G r E k l Y s t j ou r I
ríkisráðið	r i: c I s r au D I D
ríkisráð	r i: c I s r au D
ríkisreikningi	r i: c I s r ei h k n i J c I
ríkisreiknings	r i: c I s r ei h k n i N s
ríkisrekstrinum	r i: c I s r E k s t r I n Y m
ríkisrekstri	r i: c I s r E k s t r I
ríkisrekstur	r i: c I s r E k s t Y r
ríkis	r i: c I s
ríkissaksóknara	r i: c I s a k s ou h k n a r a
ríkissaksóknari	r i: c I s a k s ou h k n a r I
ríkissáttasemjara	r i: c I s au h t a s E m j a r a
ríkissáttasemjari	r i: c I s au h t a s E m j a r I
ríkissjóði	r i: c I s j ou D I
ríkissjóð	r i: c I s j ou D
ríkissjóðs	r i: c I s j ou D s
ríkissjóður	r i: c I s j ou D Y r
ríkissjónvarpið	r i: c I s j ou n v a r_0 p I D
ríkissjónvarpinu	r i: c I s j ou n v a r_0 p I n Y
ríkisskattstjóra	r i: c I s k a h t s t j ou r a
ríkisskattstjóri	r i: c I s k a h t s t j ou r I
ríkisskuldabréf	r i: c I s k Y l t a p r j E v
ríkisskuldabréfum	r i: c I s k Y l t a p r j E v Y m
ríkisstarfsmanna	r i: c I s t a r f s m a n a
ríkisstarfsmenn	r i: c I s t a r f s m E n
ríkisstjóra	r i: c I s t j ou r a
ríkisstjóri	r i: c I s t j ou r I
ríkisstjórnarflokkanna	r i: c I s t j ou r t n a r_0 f l O h k a n a
ríkisstjórnarflokka	r i: c I s t j ou r t n a r_0 f l O h k a
ríkisstjórnarflokkarnir	r i: c I s t j ou r t n a r_0 f l O h k a r t n I r
ríkisstjórnarfundi	r i: c I s t j ou r t n a r_0 f Y n t I
ríkisstjórna	r i: c I s t j ou r t n a
ríkisstjórnarinnar	r i: c I s t j ou r t n a r I n a r
ríkisstjórnar	r i: c I s t j ou r t n a r
ríkisstjórnina	r i: c I s t j ou r t n I n a
ríkisstjórninni	r i: c I s t j ou r t n I n I
ríkisstjórnin	r i: c I s t j ou r t n I n
ríkisstjórn	r i: c I s t j ou r t n_0
ríkisstjórnum	r i: c I s t j ou r t n Y m
ríkisstofnana	r i: c I s t O p n a n a
ríkisstofnanir	r i: c I s t O p n a n I r
ríkisstofnun	r i: c I s t O p n Y n
ríkisstofnunum	r i: c I s t O p n Y n Y m
ríkisstuðnings	r i: c I s t Y D n i N s
ríkisútgjalda	r i: c I s u t c a l t a
ríkisútgjöld	r i: c I s u t c 9 l t
ríkisútgjöldum	r i: c I s u t c 9 l t Y m
ríkisútvarpið	r i: c I s u t v a r_0 p I D
ríkisútvarpinu	r i: c I s u t v a r_0 p I n Y
ríkisútvarpsins	r i: c I s u t v a r_0 p s I n s
ríkisvaldið	r i: c I s v a l t I D
ríkisvaldinu	r i: c I s v a l t I n Y
ríkisvaldsins	r i: c I s v a l t s I n s
ríkisvalds	r i: c I s v a l t s
ríkjandi	r i: c a n t I
ríkjanna	r i: c a n a
ríkja	r i: c a
ríkjasamstarf	r i: c a s a m s t a r f
ríkjum	r i c Y m
ríkjunum	r i: c O n Y m
ríkra	r i: k r a
rík	r i: k
ríkri	r i: k r I
ríkti	r i x t I
ríkt	r i x t
ríkulega	r i: k Y l E G a
ríkum	r i: k Y m
ríku	r i: k Y
ríkur	r i: k Y r
ríkustu	r i: k Y s t Y
rímar	r i: m a r
ríminu	r i: m I n Y
rím	r i: m
ríó	r i: ou
rísa	r i: s a
rísi	r i: s I
rís	r i: s
rjómabollanna	r j ou: m a p O l a n a
rjómabolla	r j ou: m a p O l a
rjómabollum	r j ou: m a p O l Y m
rjómabolluna	r j ou: m a p O l Y n a
rjómabollu	r j ou: m a p O l Y
rjómabollurnar	r j ou: m a p O l Y r t n a r
rjómabollur	r j ou: m a p O l Y r
rjómaís	r j ou: m a i s
rjómakaramellur	r j ou: m a k_h a r a m E l Y r
rjómann	r j ou: m a n
rjómaostur	r j ou: m a O s t Y r
rjóma	r j ou: m a
rjómatoppur	r j ou: m a t_h O h p Y r
rjómi	r j ou: m I
rjúfa	r j u: v a
rjúkandi	r j u: k a n t I
rjúka	r j u: k a
rjúpa	r j u: p a
rjúpnasoðinu	r j u h p n a s O D I n Y
rjúpu	r j u: p Y
rjúpur	r j u: p Y r
road	r ou: t
roads	r ou: t s
roar	r O: r
robba	r O p a
robben	r O p E n
robbie	r O p i
roberto	r ou: p E r_0 t ou
robert	r O p E r_0 t
robertson	r O p E r_0 t s O n
roberts	r O p E r_0 t s
robin	r O p I n
robinson	r O p I n s O n
rob	r O p
robson	r O p s O n
rockets	r O h k E t s
rock	r O h k
rocks	r O h k s
rocky	r O h c i
rodgers	r O t j E r_0 s
rodrigo	r O t r i k O
rodriguez	r O t r i k E s
roði	r O: D I
rofið	r O: v I D
rof	r O: v
roger	r O: t j E r
rogers	r O t j E r_0 s
rojo	r O x ou
rokið	r O: c I D
roki	r O: c I
rokkar	r O h k a r
rokkinu	r O h c I n Y
rokki	r O h c I
rokkland	r O h k l a n t
rokk	r O h k
rokktónlist	r O h k t_h ou n l I s t
rok	r O: k
roland	r ou: l a n t
role	r ou: l
rolf	r O l f
rolling	r ou l i N k
roll	r ou l
romance	r ou: m a n s
roman	r ou: m a n
roma	r ou: m a
romelu	r ou m E l u
romeo	r ou: m E ou
romero	r O m E r ou
rome	r ou: m
rommdrykkju	r O m t r I h c Y
rommi	r O m I
romm	r O m
romney	r O m n i
ronaldinho	r ou n a l t I n j ou
ronaldo	r ou: n a l t O
ronald	r O n a l t
ron	r O n
room	r u: m
rooms	r u: m s
rooney	r u: n i
roots	r u: t s
rory	r O r i
rosalega	r O: s a l E G a
rosaleg	r O: s a l E G
rosalegt	r O: s a l E x t
rosa	r O: s a
rosberg	r O s p E r k
rosenberg	r ou: s E n p E r k
rosenborg	r ou: s E n p O r k
rosengård	r ou: s E n k O r t
rose	r ou: s
rossi	r O s i
rosso	r O s ou
ross	r O s
rostov	r O s t O v
rota	r O: t a
rotherham	r O T E r_0 h a m
roth	r O T
rotna	r O h t n a
rot	r O: t
rottagöngurnar	r O h t a k 9i N k Y r t n a r
rotta	r O h t a
rotten	r O h t E n
rotterdam	r O h t E r t a m
rottusönginn	r O h t Y s 9i J c I n
rotvarin	r O: t v a r I n
round	r au n t
route	r au t
rover	r ou: v E r
rovers	r ou: v E r_0 s
row	r ou:
royale	r Oi a l
royal	r Oi a l
roy	r Oi
róandi	r ou: a n t I
róa	r ou: a
róast	r ou: a s t
róbert	r ou: p E r_0 t
róbertsdóttir	r ou: p E r_0 t s t ou h t I r
róbertsdóttur	r ou: p E r_0 t s t ou h t Y r
róberts	r ou: p E r_0 t s
róbertsson	r ou: p E r_0 t s O n
róbertssyni	r ou: p E r_0 t s I n I
róðurinn	r ou: D Y r I n
róður	r ou: D Y r
róið	r ou: I D
rólega	r ou: l E G a
rólegheitum	r ou: l E x h ei t Y m
rólegir	r ou: l ei j I r
rólegra	r ou: l E G r a
rólegri	r ou: l E G r I
róleg	r ou: l E G
rólegt	r ou: l E x t
rólegur	r ou: l E G Y r
róli	r ou: l I
ról	r ou: l
rómantík	r ou: m a n t_h i k
rómantíska	r ou: m a n t_h i s k a
rómantísk	r ou: m a n t_h i s k
rómantískt	r ou: m a n t_h i s t
rómar	r ou: m a r
rómi	r ou: m I
róm	r ou: m
rómur	r ou: m Y r
rómverskar	r ou m v E r_0 s k a r
rómversk	r ou m v E r_0 s k
rómversku	r ou m v E r_0 s k Y
rómverskur	r ou m v E r_0 s k Y r
rónni	r ou n I
ró	r ou:
rósa	r ou: s a
rósar	r ou: s a r
rósinkrans	r ou: s I n k_h r a n s
rósir	r ou: s I r
rósmarín	r ou: s m a r i n
rós	r ou: s
rósum	r ou: s Y m
rósu	r ou: s Y
rót	r ou: t
rótt	r ou h t
róttæka	r ou: t_h ai k a
róttækar	r ou t_h ai k a r
róttækra	r ou t_h ai k r a
róttæk	r ou: t_h ai k
róttækum	r ou t_h ai k Y m
rótum	r ou: t Y m
ruben	r u: p E n
rubens	r u: p E n s
rubin	r u: p I n
ruddi	r Y t I
rugby	r 9 k p i
ruggar	r Y k a r
rugga	r Y k a
ruggustólinn	r Y k Y s t ou l I n
ruglað	r Y k l a D
rugla	r Y k l a
ruglast	r Y k l a s t
ruglingslegt	r Y k l i N s t l E x t
rugli	r Y k l I
rugl	r Y k l_0
rukkað	r Y h k a D
rukka	r Y h k a
rule	r u: l
rules	r u: l s
rullu	r Y t l Y
rum	r 9 m
rumsfeld	r 9 m s f E l t
runka	r u N_0 k a
runnið	r Y n I D
running	r 9 n i N
runninn	r Y n I n
runnin	r Y n I n
runnu	r Y n Y
runólfs	r Y: n ou l f s
runólfssonar	r Y: n ou l f s O n a r
runólfsson	r Y: n ou l f s O n
runólfur	r Y: n ou l f Y r
run	r 9 n
runway	r 9 n v ei
ru	r u
rush	r 9 s
ruslið	r Y s t l I D
rusli	r Y s t l I
ruslpósti	r Y s t l_0 p_h ou s t I
rusl	r Y s t l_0
russell	r 9 s E l
russian	r 9 s j a n
russia	r 9 s j a
rustikus	r Y s t I k Y s
ruth	r u T
rut	r Y: t
rutt	r Y h t
ruud	r u: t
rúanda	r u a n t a
rúbbí	r u p i
rúða	r u: D a
rúður	r u: D Y r
rúðu	r u: D Y
rúgur	r u: G Y r
rúllaðan	r u l a D a n
rúllaðar	r u l a D a r
rúllaða	r u l a D a
rúllaðir	r u l a D I r
rúllaði	r u l a D I
rúllaðist	r u l a D I s t
rúllaðrar	r u l a D r a r
rúllað	r u l a D
rúllaður	r u l a D Y r
rúllaðu	r u l a D Y
rúllandi	r u l a n t I
rúllanna	r u l a n a
rúllan	r u l a n
rúllar	r u l a r
rúlla	r u l a
rúllast	r u l a s t
rúllettanna	r u l E h t a n a
rúllettan	r u l E h t a n
rúlletta	r u l E h t a
rúllettum	r u l E h t Y m
rúllettuna	r u l E h t Y n a
rúllettunnar	r u l E h t Y n a r
rúllettunni	r u l E h t Y n I
rúllettunum	r u l E h t O n Y m
rúlletturnar	r u l E h t Y r t n a r
rúllettur	r u l E h t Y r
rúllettu	r u t l E h t Y
rúllið	r u l I D
rúlli	r u l I
rúllubaggana	r u l Y p a k a n a
rúllubagganna	r u l Y p a k a n a
rúllubaggarnir	r u l Y p a k a r t n I r
rúllubaggar	r u l Y p a k a r
rúllubagga	r u l Y p a k a
rúlluböggum	r u l Y p 9 k Y m
rúlluð	r u l Y D
rúlluðum	r u l Y D Y m
rúlluðu	r u l Y D Y
rúllugardína	r u l Y k a r t i n a
rúllugardínum	r u l Y k a r t i n Y m
rúllugardínunum	r u l Y k a r t i n O n Y m
rúllugardínur	r u l Y k a r t i n Y r
rúllugardínu	r u l Y k a r t i n Y
rúllukragabol	r u l Y k_h r a G a p O l
rúllukragana	r u l Y k_h r a G a n a
rúllukragann	r u l Y k_h r a G a n
rúllukragans	r u l Y k_h r a G a n s
rúllukraganum	r u l Y k_h r a G a n Y m
rúllukragapeysan	r u l Y k_h r a G a p_h ei s a n
rúllukragapeysa	r u l Y k_h r a G a p_h ei s a
rúllukragapeysum	r u l Y k_h r a G a p_h ei s Y m
rúllukragapeysunni	r u l Y k_h r a G a p_h ei s Y n I
rúllukragapeysur	r u l Y k_h r a G a p_h ei s Y r
rúllukragapeysu	r u l Y k_h r a G a p_h ei s Y
rúllukragar	r u l Y k_h r a G a r
rúllukraga	r u l Y k_h r a G a
rúllukraginn	r u l Y k_h r ai j I n
rúllukragi	r u l Y k_h r ai j I
rúllukrögum	r u l Y k_h r 9 G Y m
rúllum	r u l Y m
rúlluna	r u l Y n a
rúllunnar	r u l Y n a r
rúllunni	r u l Y n I
rúllunum	r u l O n Y m
rúllupinna	r u l Y p_h I n a
rúllupylsan	r u l Y p_h I l s a n
rúllupylsa	r u l Y p_h I l s a
rúllupylsna	r u l Y p_h I l s t n a
rúllupylsum	r u l Y p_h I l s Y m
rúllupylsuna	r u l Y p_h I l s Y n a
rúllupylsur	r u l Y p_h I l s Y r
rúllupylsu	r u l Y p_h I l s Y
rúllurnar	r u l Y r t n a r
rúllur	r u l Y r
rúllu	r u l Y
rúlluskautar	r u l Y s k 9i t a r
rúlluskauti	r u l Y s k 9i t I
rúlluskautum	r u l Y s k 9i t Y m
rúllustigana	r u l Y s t I G a n a
rúllustiganna	r u l Y s t I G a n a
rúllustigann	r u l Y s t I G a n
rúllustigans	r u l Y s t I G a n s
rúllustiganum	r u l Y s t I G a n Y m
rúllustigarnir	r u l Y s t I G a r t n I r
rúllustigar	r u l Y s t I G a r
rúllustiga	r u l Y s t I G a
rúllustiginn	r u l Y s t i j I n
rúllustigi	r u l Y s t i j I
rúllustigum	r u l Y s t I G Y m
rúllustigunum	r u l Y s t I G O n Y m
rúlluterta	r u l Y t_h E r_0 t a
rúllutertuna	r u l Y t_h E r_0 t Y n a
rúllutertunnar	r u l Y t_h E r_0 t Y n a r
rúlluterturnar	r u l Y t_h E r_0 t Y r t n a r
rúllutertur	r u l Y t_h E r_0 t Y r
rúllutertu	r u l Y t_h E r_0 t Y
rúman	r u: m a n
rúmar	r u: m a r
rúma	r u: m a
rúmast	r u: m a s t
rúmenía	r u: m E n i j a
rúmeníu	r u: m E n i j Y
rúmenska	r u: m E n s k a
rúmföt	r u m f 9 t
rúmgott	r u m k O h t
rúmið	r u: m I D
rúminu	r u: m I n Y
rúmir	r u: m I r
rúmi	r u: m I
rúmist	r u: m I s t
rúmlega	r u m l E G a
rúmliggjandi	r u m l I c a n t I
rúmmetrar	r u m E t r a r
rúmmetra	r u m E t r a
rúmri	r u m r I
rúm	r u: m
rúms	r u m s
rúmstokkinn	r u m s t O h c I n
rúmstólpa	r u m s t ou l_0 p a
rúmteppið	r u m t_h E h p I D
rúmt	r u m_0 t
rúmum	r u: m Y m
rúmur	r u: m Y r
rúmu	r u: m Y
rúnari	r u: n a r I
rúnar	r u: n a r
rúnarsdóttir	r u: n a r_0 s t ou h t I r
rúnars	r u: n a r_0 s
rúnarsson	r u: n a r_0 s O n
rúna	r u: n a
rúnnaðar	r u n a D a r
rúnnaða	r u n a D a
rúnnaðir	r u n a D I r
rúnnaðra	r u n a D r a
rúnnaðri	r u n a D r I
rúnnað	r u n a D
rúnnaður	r u n a D Y r
rúnna	r u n a
rúnnstykkin	r u n s t I h c I n
rúnnstykki	r u n s t I h c I
rúnnstykkjum	r u n s t I h c Y m
rúnnstykkjunum	r u n s t I h c O n Y m
rúnnuð	r u n Y D
rúnnuðum	r u n Y D Y m
rúnnuðu	r u n Y D Y
rún	r u: n
rúnu	r u: n Y
rúrik	r u: r I k
rúsína	r u: s i n a
rúsínubollan	r u: s i n Y p O l a n
rússarnir	r u s a r t n I r
rússar	r u s a r
rússa	r u s a
rússinn	r u s I n
rússlandi	r u s t l a n t I
rússland	r u s t l a n t
rússlandsforseta	r u s t l a n t s f O r_0 s E t a
rússlandsforseti	r u s t l a n t s f O r_0 s E t I
rússlands	r u s t l a n t s
rússneskar	r u s t n E s k a r
rússneska	r u s t n E s k a
rússneskir	r u s t n E s c I r
rússneski	r u s t n E s c I
rússneskra	r u s t n E s k r a
rússneskri	r u s t n E s k r I
rússnesk	r u s t n E s k
rússneskt	r u s t n E s t
rússneskum	r u s t n E s k Y m
rússneskur	r u s t n E s k Y r
rússnesku	r u s t n E s k Y
rússum	r u s Y m
rústa	r u s t a
rústir	r u s t I r
rúst	r u s t
rústum	r u s t Y m
rústunum	r u s t O n Y m
rútan	r u: t a n
rúta	r u: t a
rútínu	r u: t_h i n Y
rútum	r u: t Y m
rútuna	r u: t Y n a
rútunni	r u: t Y n I
rútur	r u: t Y r
rútu	r u: t Y
rúv	r u: v
rxe	E r E k s E
ryanair	r ai: j a n E r
ryan	r ai j a n
ryder	r ai: t E r
ryðfrír	r I D f r i r
ryðja	r I D j a
ryð	r I: D
rykið	r I: c I D
ryki	r I: c I
rykkja	r I h c a
rykkjum	r I h c Y m
rykktu	r I x t Y
ryk	r I: k
ryksveppi	r I k s v E h p I
rynni	r I n I
rytjulegt	r I: t j Y l E x t
rýma	r i: m a
rýmd	r i m t
rýmið	r i: m I D
rýminu	r i: m I n Y
rými	r i: m I
rýmka	r i m_0 k a
rýmri	r i m r I
rýmum	r i: m Y m
rýna	r i: n a
rýnt	r i n_0 t
rýra	r i: r a
rýrð	r i r D
rýriskiptingu	r i: r I s c I f t i N k Y
rýrnað	r i r t n a D
rýrna	r i r t n a
rýrnun	r i r t n Y n
rýr	r i: r
rýrt	r i r_0 t
ræddar	r ai t a r
ræddi	r ai t I
rædd	r ai t
ræddum	r ai t Y m
ræddu	r ai t Y
ræddur	r ai t Y r
ræðan	r ai: D a n
ræða	r ai: D a
ræðinn	r ai: D I n
ræði	r ai: D I
ræðir	r ai: D I r
ræðst	r ai D s t
ræðukeppni	r ai: D Y c_h E h p n I
ræðumaður	r ai: D Y m a D Y r
ræðumanni	r ai: D Y m a n I
ræðumanns	r ai: D Y m a n s
ræðumenn	r ai: D Y m E n
ræðum	r ai: D Y m
ræðuna	r ai: D Y n a
ræðunni	r ai: D Y n I
ræðu	r ai: D Y
ræður	r ai: D Y r
ræðustóli	r ai: D Y s t ou l I
ræðustól	r ai: D Y s t ou l
ræðutíma	r ai: D Y t_h i m a
rækilega	r ai: c I l E G a
ræki	r ai: c I
rækja	r ai: c a
rækju	r ai: c Y
rækjutrolli	r ai: c Y t_h r O l I
rækjutroll	r ai: c Y t_h r O l
rækjutrollum	r ai: c Y t_h r O l Y m
rækjuverksmiðjunni	r ai: c Y v E r_0 k s m I D j Y n I
ræktaðar	r ai x t a D a r
ræktaði	r ai x t a D I
ræktað	r ai x t a D
ræktandi	r ai x t a n t I
rækta	r ai x t a
ræktar	r ai x t a r
ræktarsemi	r ai x t a r_0 s E m I
ræktina	r ai x t I n a
ræktinni	r ai x t I n I
rækt	r ai x t
ræktuð	r ai x t Y D
ræktuðu	r ai x t Y D Y
ræktunar	r ai x t Y n a r
ræktun	r ai x t Y n
ræna	r ai: n a
rændi	r ai n t I
rændu	r ai n t Y
ræningja	r ai: n i J c a
ræningjarnir	r ai: n i J c a r t n I r
rænt	r ai n_0 t
ræsa	r ai: s a
ræst	r ai s t
rætast	r ai: t a s t
rætist	r ai: t I s t
rættist	r ai h t I s t
rætt	r ai h t
ræturnar	r ai: t Y r t n a r
rætur	r ai: t Y r
räikkönen	r ai k_h O n E n
röbbuðum	r 9 p Y D Y m
röddina	r 9 t I n a
röddinni	r 9 t I n I
röddin	r 9 t I n
rödd	r 9 t
röddum	r 9 t Y m
röddu	r 9 t Y
röðinni	r 9: D I n I
röðin	r 9: D I n
röð	r 9: D
röðum	r 9: D Y m
röðun	r 9: D Y n
röflaði	r 9 v l a D I
röflað	r 9 v l a D
röflandi	r 9 v l a n t I
röfla	r 9 v l a
röflar	r 9 v l a r
röflið	r 9 v l I D
röflinu	r 9 v l I n Y
röfli	r 9 v l I
röfl	r 9 v l
röfluðu	r 9 v l Y D Y
rögnu	r 9 k n Y
rögnvaldsson	r 9 k n_0 v a l t s O n
rögnvaldur	r 9 k n_0 v a l t Y r
rökfræði	r 9: k f r ai D I
rökin	r 9: c I n
rökkur	r 9 h k Y r
rök	r 9: k
rökrásavefinn	r 9: k r au s a v E v I n
rökrétt	r 9: k r j E h t
rökræða	r 9: k r ai D a
rökræðueinvígi	r 9: k r ai D Y ei n v i j I
rökræðukeppni	r 9: k r ai D Y c_h E h p n I
rökræðum	r 9: k r ai D Y m
rökræður	r 9: k r ai D Y r
röksemdafærslu	r 9: k s E m t a f ai r_0 s t l Y
röksemdir	r 9: k s E m t I r
röksemd	r 9 k s E m t
röksemdum	r 9: k s E m t Y m
rökstudda	r 9: k s t Y t a
rökstuddar	r 9 k s t Y t a r
rökstudd	r 9: k s t Y t
rökstuddum	r 9 k s t Y t Y m
rökstuddur	r 9: k s t Y t Y r
rökstuðningi	r 9 k s t Y D n i J c I
rökstuðning	r 9: k s t Y D n i N k
rökstuðnings	r 9: k s t Y D n i N s
rökstuðningur	r 9 k s t Y D n i N k Y r
rökstutt	r 9: k s t Y h t
rökstyðja	r 9: k s t I D j a
rökum	r 9: k Y m
rökvillan	r 9: k v I t l a n
rökvilla	r 9: k v I t l a
rökvillnanna	r 9: k v I t l n a n a
rökvillna	r 9: k v I t l n a
rökvillum	r 9: k v I t l Y m
rökvilluna	r 9: k v I t l Y n a
rökvillunnar	r 9: k v I t l Y n a r
rökvillunni	r 9: k v I t l Y n I
rökvillunum	r 9: k v I t l O n Y m
rökvillu	r 9: k v I t l Y
rökvillurnar	r 9: k v I t l Y r t n a r
rökvillur	r 9: k v I t l Y r
röllum	r 9 l Y m
röllurum	r 9 l Y r Y m
rölta	r 9 l_0 t a
rölti	r 9 l_0 t I
rölt	r 9 l_0 t
römmu	r 9 m Y
rönd	r 9 n t
röng	r 9i N k
röngum	r 9i N k Y m
röngu	r 9i N k Y
rör	r 9: r
rösklega	r 9 s k l E G a
röskun	r 9 s k Y n
rötuðu	r 9: t Y D Y
saari	s a: r i
sabbath	s a p a T
sachs	s a k s
saddam	s a t a m
saddams	s a t a m s
sadio	s a: t i j ou
sad	s a t
safali	s a: f a l I
safamikill	s a: v a m I c I t l_0
safamýri	s a: v a m i r I
safe	s ei f
safety	s ei f t i
safi	s a: v I
safírar	s a: f i r a r
safíra	s a: f i r a
safírinn	s a: f i r I n
safír	s a: f i r
safírsteini	s a: f i r_0 s t ei n I
safírum	s a: f i r Y m
safnaðarheimilinu	s a p n a D a r_0 h ei m I l I n Y
safnaðarheimili	s a p n a D a r_0 h ei m I l I
safnaðarins	s a p n a D a r I n s
safnaðarstarf	s a p n a D a r_0 s t a r v
safnaðarsöng	s a p n a D a r_0 s 9i N k
safnaði	s a p n a D I
safnaðist	s a p n a D I s t
safnað	s a p n a D
safnar	s a p n a r
safna	s a p n a
safnast	s a p n a s t
safnið	s a p n I D
safninu	s a p n I n Y
safni	s a p n I
safnist	s a p n I s t
safnkostur	s a p n_0 k_h O s t Y r
safn	s a p n_0
safnsins	s a p n_0 s I n s
safnstjóri	s a p n_0 s t j ou r I
saf	s a: f
sagan	s a: G a n
saga	s a: G a
sagas	s a k a s
sagðar	s a G D a r
sagðir	s a G D I r
sagði	s a G D I
sagðist	s a G D I s t
sagður	s a G D Y r
sagga	s a k a
sagna	s a k n a
sagnfræðingur	s a k n_0 f r ai D i N k Y r
sagnfræði	s a k n_0 f r ai D I
sagnhafi	s a k n_0 h a v I
sagnir	s a k n I r
sagnorð	s a k n O r D
sagógrjón	s a: k ou k r j ou n
sag	s a: G
sagst	s a x s t
sagt	s a x t
saha	s a: h a
said	s E: t
saint	s ei n_0 t
sakaðir	s a: k a D I r
sakaði	s a: k a D I
sakað	s a: k a D
sakaður	s a: k a D Y r
sakaferil	s a: k a f E r I l
sakamála	s a: k a m au l a
sakamáli	s a: k a m au l I
sakamál	s a: k a m au l
sakamálum	s a: k a m au l Y m
sakarefnið	s a: k a r E p n I D
sakarefni	s a: k a r E p n I
sakargiftir	s a: k a r c I f t I r
sakargiftum	s a: k a r c I f t Y m
sakarkostnaðar	s a: k a r k_h O s t n a D a r
sakarkostnað	s a: k a r_0 k_h O s t n a D
sakarkostnaður	s a: k a r_0 k_h O s t n a D Y r
sakar	s a: k a r
sakaruppgjöf	s a: k a r Y h p c 9 v
saka	s a: k a
sakaskrá	s a: k a s k r au
sakast	s a: k a s t
sakavottorði	s a: k a v O h t O r D I
sakborningar	s a k p O r t n i N k a r
sakborninga	s a: k p O r t n i N k a
sakborningi	s a: k p O r t n i J c I
sakbornings	s a: k p O r t n i N s
sakborningum	s a: k p O r t n i N k Y m
sakborningur	s a: k p O r t n i N k Y r
sakfelldir	s a: k f E l t I r
sakfelld	s a: k f E l t
sakfelldur	s a: k f E l t Y r
sakfellingar	s a: k f E t l i N k a r
sakfellingu	s a k f E t l i N k Y
sakho	s a: k_h ou
sakirnar	s a: c I r t n a r
sakir	s a: c I r
saklausa	s a: k l 9i s a
saklausir	s a: k l 9i s I r
saklaus	s a: k l 9i s
saklaust	s a: k l 9i s t
sakleysingi	s a: k l ei s i J c I
sakleysi	s a: k l ei s I
saknaði	s a h k n a D I
saknað	s a h k n a D
saknar	s a h k n a r
sakna	s a h k n a
saknæma	s a: k n ai m a
saknæmt	s a: k n ai m_0 t
saknæmum	s a: k n ai m Y m
saksóknarar	s a: k s ou h k n a r a r
saksóknara	s a: k s ou h k n a r a
saksóknarinn	s a: k s ou h k n a r I n
saksóknari	s a: k s ou h k n a r I
saksókn	s a: k s ou h k n_0
salah	s a l a h
salan	s a: l a n
sala	s a: l a
salati	s a l a t I
salat	s a l a t
salerni	s a: l E r t n I
salernisrúllur	s a: l E r t n I s r u l Y r
salernisrúllu	s a l E r t n I s r u l Y
sale	s ei: l
sales	s ei: l s
salinn	s a: l I n
salka	s a l_0 k a
salla	s a t l a
salli	s a t l I
salman	s a l m a n
